ID,O que você entende por diversidade e inclusão?
#P30,Ability to compose a team with people of different sociocultural characteristics
#P31,"They are practices and policies aimed at a more egalitarian environment where different groups are welcomed in different ways according to their needs and characteristics, aiming to reduce the existing opportunity gap."
#P32,Serve diverse groups and make people feel comfortable working and expressing that they belong to one of these groups.
#P33,"Diversity talks about a way of seeing diverse social groups and inclusion shows us that we need to find ways to include these diverse people in various environments in an equitable way to the groups that have the majority in the environment. It is not enough to include, we also need to make these people feel that they belong to the environment."
#P34,"Diversity refers to the presence of differences within a group, including characteristics such as ethnicity, gender, age, religion, disability and sexual orientation, among others. Inclusion is the practice of creating environments in which any individual or group within their differences can be and feel welcomed, respected, supported and valued to fully participate."
#P35,That people have the same opportunity regardless of their backgrounds
#P36,equity policies among diverse ethnic identities
#P37,"Diversity is when we have a group of people who have different life experiences, ethnicities, sexualities and inclusion is making this group of people feel comfortable in the environment"
#P38,Plurality in a way that everyone is included
#P39,"Diversity refers to the presence of a wide variety of identities and experiences, while inclusion involves creating an environment where all these identities are valued, respected and included in an equitable way."
#P40,"Diversity and inclusion is when everyone is different in some way, but everyone is accepted and respected. It is like a box of colored pencils, where each pencil is a different color, but all are important and fit together to make something beautiful. Diversity is when there are many differences, such as colors, cultures, religions and abilities, and inclusion is when everyone is invited to participate and feel welcome, no matter their differences. It is like when everyone can play during recess, even if each person likes to play different things."
#P41,Indiscriminate participation and personalized support for each person’s particular issues
#P42,Different people in relation to culture in an environment. Create a welcoming environment for these people.
#P43,Equality
#P44,"Presence of minorities everywhere, without distinction."
#P45,"I believe that diversity is the different cultures, beliefs and races. And inclusion would be something in which the different diversities are present."
#P46,Have spaces for differences.
#P47,See the value in everyone’s differences as individuals and act in a way that creates environments where this value is recognized and properly used for a better quality of life for all.
#P48,Accept everyone who is different or not
#P49,"Diversity of thoughts, inclusion of opinions."
#P50,"They are two directly connected terms. Diversity refers to the plurality of people in relation to their culture, beliefs, race, sexuality, among others. Inclusion is about creating an environment where all diversities are welcomed. Different concepts, but complementary."
#P51,"Opportunities being open to any person, without distinction of race, gender..."
#P52,Diversity is having the maximum possible representation of society. And inclusion is having respect for all differences and valuing them.
#P53,"Equity according to skills, focusing on the ability to perform a specific task"
#P54,"I understand that a more diverse and inclusive world is fair, because the past shaped the present in which we have fewer diverse and black people in all areas. But we can change the future by including these people and giving them opportunities for growth."
#P55,Equal treatment and opportunities taking into account historical and social variables
#P56,"Effective participation of all people with different characteristics, needs and ideologies in all environments."
#P57,"Enable the work environment (physical or virtual) so that people of different races, beliefs, ages, etc can complete their tasks without being impacted by conditions favorable only to certain groups."
#P58,"I see diversity as a state that is intended to be achieved through the act of including (inclusion). It is about trying through actions, because no matter how much can be done it may be flawed, to achieve a variety of “types” of people in a given team or group."
#P59,"The capacity to include individuals in an organization, even if they are different from others."
#P60,diversity is inviting to the party inclusion is inviting to dance
#P61,"""Diversity is inviting to the party, Inclusion is inviting to dance"". Diversity and Inclusion go hand in hand and it is about the relationship between different people and mutual respect, creating a comfortable environment for everyone."
#P62,"Give opportunities to historically underrepresented groups to occupy spaces previously occupied only by white heterosexual men. For the inclusion of these underrepresented groups to be effective, it is necessary to have a percentage of exclusive positions."
#P63,"People of different types being able to feel that they belong to the place
Without difference in treatment"
#P64,"It is very much about having people of different ethnicities, sexualities, living conditions and putting them to work together all in positions of social equality"
#P65,"Include people from different ethnicities, genders and sexual orientations. So that during the development of a given software the embedded biases are diluted and the final product is able to serve and respect all groups of people."
#P66,"Give equal chances to everyone, while also helping those who need it."
#P67,An environment where everyone is treated in an egalitarian way
#P68,"I understand it as listening to those who have characteristics different from the “norm”, if such a norm even exists, so that people who previously, due to prejudice, had neither power nor a voice because of some characteristic can come to compete on equal footing."
#P69,"Be attentive to everyone so that everyone feels valued, respected and involved in the environment."
#P70,"Diversity is ensuring that there is a group of people with different characteristics, such as gender, color/ethnicity, sexual orientation, among others, interacting well with each other and respecting one another. Inclusion is precisely the act of including these people with different characteristics in the same environment and ensuring that they are respected by one another."
#P71,I believe that diversity is the plurality of people and inclusion is the attempt to create a welcoming environment for this diversity.
#P72,"Make an environment welcoming, healthy and accessible for everyone regardless of their individuality."
#P73,"Include people of diverse races, genders, etc in the company in different roles"
#P74,"Diversity and inclusion, in my point of view, is respecting all people. In addition, making environments that are segregated by only one or some specific stereotypes diverse. For example, an environment where there are normally only white men, bringing into this environment people of other genders and race/ethnicity. But this inclusion needs to happen in a respectful way, so that there is no prejudice and discrimination against these people who are of another gender and race/ethnicity, in the example mentioned."
#P75,"Diversity is the presence of diverse perspectives and lived experiences across all areas of the company, from the project team to C-suite positions.
Inclusion is composed of two factors: not discriminating against a vulnerable/marginalized group and encouraging the presence of these groups across all areas of the company."
#P76,Everyone having the same opportunities
#P77,"I understand that diversity and inclusion are different things, but that they complement each other"
#P78,"Not necessarily the “forced” inclusion of people from a certain category to cover a numerical quota, but rather the absence of prejudice and the facilitation of the admission of people from different minority groups."
#P79,.
#P80,Indifference
#P81,"Policies that enable the presence of different types of people’s characteristics, such as race, gender, age, sexual orientation, religion, and abilities, and ensure that all are valued, respected and have equal opportunities."
#P82,..
#P83,"Give opportunities for diverse people to feel welcomed, safe and with well-being in the environment they are inserted in, being able to develop without limitations."
#P84,"Equal opportunities for everyone regardless of their political or religious position and regardless of race, sex, color and beliefs."
#P85,the corporate effort in offering opportunities to groups with little representation in the company environment.
#P86,Ensure that people of color/race/disability/gender/sexual orientation are treated in an egalitarian way
#P87,.
#P88,"I understand it as diversifying the work team in different ways, whether by inclusion in the age range area or for example in gender diversity."
#P89,I understand that it is something very important and that every company should have.
#P90,.
#P91,"Cover all races, genders, sexual orientations, religions, neurodivergences, disabilities, social classes."
#P92,"A group diversified in ethnicities, sexual orientations, etc. And inclusion would be the inclusion of people with disabilities."
#P93,"Include people of different sexualities, as well as elderly people and people with disabilities, of different races, etc, without prejudice or discrimination"
#P94,Integration actions
#P95,"I understand that diversity is the set of differences among people, whether by ethnicity, religion, sexual orientation and others, and inclusion is when an environment brings all these people together."
#P96,Focus on technical capacity
#P97,Presence of different groups in an environment
#P98,I did not understand the reason for this question.
#P99,"Groups of people different from one another, with limitations, being able to access the labor market."
#P100,Non-segregation of people based on their conditions
#P101,"Accept others, including their opinions, regardless of factors such as sex, disabilities, religion, ethnicity, etc"
#P102,Understand that some people are outside the standard or the expected and not be exclusionary with them
#P103,Various types of people working together.
#P104,Availability of opportunities
#P105,?
#P106,That everyone has the same opportunities among themselves.
#P107,Contemplation of people with diverse characteristics.
#P108,.
#P109,The act of ensuring that everyone can perform their respective functions regardless of individual factors.
#P110,Opportunities for everyone regardless of any mental or physical characteristic.
#P111,i like
#P112,another one of the inventions of the “cirandeira” left that creates more problems than real solutions to serious problems in society
#P113,"Diversity is the presence of different profiles in a group, considering factors such as culture, ethnicity, gender, sexual orientation and socioeconomic profiles. Inclusion is the creation of an environment where all these people feel valued and have equal opportunities to contribute and grow."
#P114,"Not differentiating people by gender, sexuality, disability or color."
#P115,Promotion of broad environments and experiences where everyone has a voice and a place.
#P116,"Diversity is the presence of different identities, perspectives and experiences in a group. Inclusion is ensuring that all people are respected, have equal opportunities and can fully participate."
#P117,Greater opportunity for minorities
#P118,"Have spaces where people of different genders, sexual orientations or special needs are included"
#P119,Inclusion of people from different backgrounds and perspectives
#P120,"Different races, cultures, religions, etc having the same opportunities and the same access."
#P121,Public practices that help the inclusion of certain groups in specific areas
#P122,.
#P123,"The same environment where it is possible to find people from diverse backgrounds, ethnicities, genders, sexual preferences, etc"
#P124,I believe that a diverse company has a proportional representation of the society we live in. It would be like a random sample of our society where everyone has the same opportunities.
#P125,"Have a team with people from different backgrounds, educations and lived experiences."
#P126,"Hire people purely based on their technical ability for the role, without discriminating based on any non-technical characteristic."
#P127,"Diversity for me is synonymous with variety, and inclusion is when in a group different people feel welcomed instead of being pressured to change their identity to fit in."
#P128,Diversity: people from various backgrounds and different contexts. Inclusion: that these people feel like part of the group without discrimination.
#P129,What should be normal
#P130,Not discriminating against anyone because of the way they see the world
#P131,"Include all people, regardless of culture, religion, gender, preferences, etc"
#P132,"Presence and encouragement of minority groups in the Technology field to enter positions at all levels, including leadership."
#P133,"Explicit encouragement to bring different people into an institution, people who normally would not have this opportunity, whether because they have been historically excluded from opportunities or have historically had less access to the necessary preparation for it."
#P134,Respect for everyone
#P135,Effort to include people from different groups.
#P136,"Diversity: looking at the 99.95% confidence interval of humanity instead of just the little region around the average.
Inclusion: listening to the situation and needs of various types of people, especially the most vulnerable."
#P137,A
#P138,Different people
#P139,Treat all people as equals in any context
#P140,Opportunities for all people
#P141,Give the due recognition deserved to a person or group that may face prejudice from society
#P142,Recognition and appreciation of the differences between individuals
#P143,Diversity and Inclusion is the act of bringing different people with different backgrounds to work together.
#P144,diversity and inclusion
#P145,Include different people in all aspects.
#P146,The person being hired for the position based solely on their ability and nothing else.
#P147,"A group with diverse social, gender, religious, etc. backgrounds"
#P148,"People of different genders, ethnicities and characteristics feeling welcomed in the environments"
#P149,Provide incentives for people from different backgrounds to access the same opportunities
#P150,"The recognition of systemic vulnerabilities in the process of team formation, leadership, and decision-making"
#P151,"Welcoming, respect, and equal integration for people of all races, ethnicities, nationalities, regions, or physical and psychological abilities. Efforts to integrate these people into the work environment and efforts to adapt processes to the needs of each group."
#P152,"It depends. I think that regarding entry-level positions, there should be historical reparations for minorities who have faced prejudice for years.

Beyond that, no more. Once you’ve entered the company, you’ve already had the reparation I mentioned. From then on, it’s all about competence and nothing else. Everyone on equal footing."
#P153,Inclusion of diverse people from different backgrounds and identities
#P154,"Diversity would be having professionals from diverse backgrounds, sexualities, genders, or races at various levels of seniority. Inclusion is the work that needs to be done so that everyone on the team feels included and also to enable the entry of these professionals into the organization."
#P155,Having people from all possibilities in the contexts we live in
#P156,"Support and encouragement for the participation of different types of people, promoting social justice when appropriate (such as the implementation of quotas), and improving the lives of everyone, including those who have been historically marginalized."
#P157,"Joint coexistence of people of different races, ethnicities, sexual orientations, religions, and other particularities in a harmonious way, without any kind of discrimination or intolerance."
#P158,"Respect people regardless of political positions, race, gender, etc."
#P159,"Accommodate people of different color, condition, or sexuality."
#P160,n/a
#P161,"Diversity is ensuring that a group or team includes different people who share a common goal.
Inclusion is the guarantee that all individuals have equal treatment, space, and voice in any setting."
#P162,Give space and equal opportunities to the widest variety of existing groups of people.
#P163,"A conscious effort to reduce society's unconscious biases, which generally favor men, cisgender, heteronormative, white people, and people without disabilities."
#P164,"Be receptive to people with different intrinsic characteristics, treating them in the same way."
#P165,Integration of different groups into a team
#P166,"diversity is the principle that people are different in various aspects, whether in race, gender, religion, etc., and inclusion is ensuring that these differences are respected and accepted as positive."
#P167,"In the work context, it would be bringing in and giving opportunities to cultures and backgrounds that are different from the usual work environment, which I find extremely enriching. My girlfriend is Black and from a low-income background, I come from a middle-class family, and for me it’s very interesting to include people from these backgrounds who want to grow."
#P168,"It is making the environment conducive for different people to work together, with respect for sexual orientation, religion, ethnicity, color, among other characteristics."
#P169,"Diversity refers to the presence of differences among individuals in a group or society. Inclusion is the practice of creating environments where all people, regardless of their differences, feel valued, respected, and empowered to participate."
#P170,"The team should be more than just a sample of society; it is not enough to maintain proportions between white, black, and mixed-race people, heterosexuals, and other sexual orientations. Action is necessary to strengthen the groups that have historically been denied opportunities, which has resulted in a severe socioeconomic imbalance."
#P171,Practice of including minority groups in social or business activities
#P172,Affirmative programs so that socially underrepresented groups in certain places are represented equally to other non-underrepresented groups.
#P173,Opportunity for all
#P174,Diversity is recognizing and valuing the differences between people. Inclusion is ensuring that everyone has equal opportunities and feels respected in the environment.
#P175,Ensure that everyone has the same rights within a corporation
#P176,Provide the necessary tools and support so that those who need it can perform their functions
#P177,Have different groups represented within the same sample
#P178,"Everyone has equal opportunities, even with different characteristics"
#P179,A
#P180,I don't know
#P181,Transform the environment so that leadership positions and decision-making include contributions from people who are not part of the heteronormative layer of society.
#P182,"The topic of inclusion, although still prominent, already seems saturated. I don’t believe we need new policies focused on hiring based on certain positions. This corporate approach is already losing momentum, and one sign of this is that many multinationals are again prioritizing technical skills, as has always been the standard.

This does not mean I am against inclusion—on the contrary, I advocate that everyone truly have equal opportunities. In my case, for example, I faced great difficulties in obtaining a position in several areas, mainly because I come from a low-income background. Many opportunities required fluent English, participation in expensive course projects, and education at top institutions—resources that were simply beyond my reach.

I believe the market should be fairer and provide real opportunities for growth for everyone. I recommend reading the book Weapons of Math Destruction."
#P183,Similar opportunities for anyone who does not have a limitation preventing them from performing the profession
#P184,"Diversity: having a team with people from diverse life experiences, where the participants have various characteristics that differentiate them: background, sexuality, ethnicity, etc.
Inclusion: ensuring there is diversity, and that all members are treated with respect and have equal opportunities."
#P185,Collaborate with different people in the work environment.
#P186,Provide equity in opportunities and in the day-to-day work environment
#P187,Everyone should be treated equally
#P188,Different people
#P189,"The idea is to try to promote justice, respect, and equal opportunities for everyone. Although the obsession of big capital with DEI has become more prevalent since 2015, following the McKinsey & Co. study, although they confused cause and effect, it gave investors hope to increase profits, which has not materialized."
#P190,Representation of different segments so that everyone participates and feels part of the planning and production process.
#P191,A speech just for show
#P192,"Equality in opportunity, treatment, participation, etc."
#P193,Plural composition of the work environment
#P194,"Include diverse people who are distant from or outside the stigma of what is considered ""common"" or ""perfect."""
#P195,Ways to prioritize valuing people for their abilities over any other factors.
#P196,Different types of people participating in an activity.
#P197,"It is the act of having differentiated groups of people, including primarily the minority groups."
#P198,Accepting less capable people most of the time to meet compliance requirements
#P199,"People of all types and characteristics, including those with disabilities, in the same environment without prejudice or discrimination."
#P200,"Actively recruit and recognize diversity, ensuring a safe environment for minorities."
#P201,Inclusion of sectors marginalized by society
#P202,NA
#P203,"People of any color or sexuality working together without exception, understanding that some individuals face difficulties (physical or psychological) but that does not prevent them from performing the same work."
#P204,Coexistence with social and economic equality regardless of minority status
#P205,"Encouragement of gender, race, nationality, and sexual orientation diversity in processes."
#P206,Ensure equal access opportunities and promote parity in existing environments
#P207,"I understand that it is the first step to positively reach a certain group of people, increasing the range of clients and employees from diverse social groups."
#P208,Create a diverse environment with a plurality of people
#P209,"People with different social, physical, and behavioral conditions"
#P210,Policies that value differences and encourage creativity in the environment
#P211,"Policies and initiatives whose real objective, despite the name, is merely to please a supportive audience."
#P212,"Diversity concerns the integration of the individual regardless of their absolute individual characteristics (gender, color, ethnicity, age, disability), and inclusion relates to their relative characteristics (sexuality, social names, etc.)."
#P213,Having minorities in the company
#P214,I understand it as respect.
#P215,Include people with diversity
#P216,"Actions aimed at the inclusion of minority groups, vulnerable people, and those from different contexts"
#P217,"Diversity: people from different backgrounds (ethnicity, social class, countries)

Inclusion: effort to place people who face some form of discrimination into the job market."
#P218,"Inclusion of everyone and everything (LGBTQ+ community, people of other ethnicities, states, countries, marginalized groups, women, elderly, minorities) in any workplace and/or project."
#P219,Greater opportunity for more people
#P220,Have more people from different lives
