#P61,"Not respecting differences, harming others simply for being who they are.",T2,"C3, C9",,
#P62,"People excluded, offended, and mistreated for being part of underrepresented groups.",T2,"C4, C5, C6",,
#P63,Mistreat someone based on a specific characteristic,T2,"C3, C6",,
#P64,"When a person is treated differently because of their physical, racial, sexual, age, or other characteristics",T2,"C3, C6",,
#P65,"The act of judging and limiting a person’s actions in a certain place based solely on issues related to the individual’s characteristics, such as skin color, sexual orientation, or disability.",T4,"C1, C4, C6",,
#P66,"Judge a person negatively (whether their character, ability,…) even before getting to know them.",T1,"C1, C2",,
#P67,A person being treated differently because of some attribute they have,T2,"C3, C6",,
#P68,"I think both are very similar in the sense that either they are passed down “family-wise or from generation to generation,” or they are the result of ignorance, which makes a person judge another or even take action against them based on some specific characteristic.",T4,"C1, C3, C2, C7",,
#P69,It is you treating someone different from you unfairly and negatively.,T2,"C3, C9",,
#P70,"Discrimination and prejudice are the acts of judging a person solely because of some physical characteristic before even properly getting to know them and being able to form an opinion about them. Thus, discriminating against someone is forming a negative opinion about the person and not respecting them, even without having properly interacted with them, often refusing to change this negative thought.",T4,"C1, C2, C8",,
#P71,"Discrimination: An action that lowers or belittles a group or person.
Prejudice: An opinion formed before knowing the person or something else.",T3,"C3, C1, C9",,
#P72,"Avoid, belittle, or devalue another person because of their individuality, whatever it may be.",T2,"C3, C5",,
#P73,Precisely to exclude these people,T2,C4,,
#P74,"When people are harmed and belittled simply for being who they are. For example, Black people being physically and/or verbally attacked just because of their skin color.",T2,"C3, C5, C6, C9",,
#P75,a,T6,,,
#P76,exclusion,T2,C4,,
#P77,I understand that these are very bad attitudes and stem from ignorance.,T5,C9,,
#P78,"Intolerance and hostile, ignorant behavior toward people from different minority groups.",T2,"C3, C6, C9",,
#P79,.,T6,,,
#P80,Judgment based on something/some characteristic that the person does not choose,T1,"C1, C6",,
#P81,"Prejudice is a negative judgment about a person or group based on characteristics such as race, gender, age, sexual orientation, religion, or disability. Discrimination is when a person or group is treated unfairly or unequally because of these prejudices.",T4,"C1, C3, C6",,
#P82,..,T6,,,
#P83,Barriers based on stereotypes that blindly hinder development and innovation.,T2,"C1, C4, C9",,
#P84,"Treat someone differently in a negative way because of religion, race, gender, or beliefs.",T2,"C3, C6, C9",,
#P85,Make an individual’s personal choices unfeasible,T2,C4,,
#P86,Judgment or differential treatment of people from minority groups,T4,"C1, C3, C6",,
#P87,.,T6,,,
#P88,"Difficulty in some way for people who are not considered ""standard.""",T2,"C4, C6",,
#P89,I understand that it is something very bad and that it wears employees out.,T5,C9,,
#P90,.,T6,,,
#P91,"Judge someone as incapable or unfit solely because of factors such as race, gender, sexual orientation, religion, neurodivergence, disability, or social class.",T1,"C1, C2, C6",,
#P92,Harm or treat people differently based on physical characteristics.,T2,"C3, C6, C9",,
#P93,Exclusion of people from social interaction because of characteristics that make them different,T2,C4,,
#P94,Exclusion actions,T2,C4,,
#P95,I understand that discrimination and prejudice are acts or actions that seek to diminish people because of some diversity factor.,T5,"C3, C6, C9",,
#P96,Equalize without understanding,T5,C8,,
#P97,"Rejection of a person for belonging to a group, even involuntarily, such as race",T2,"C4, C6",,
#P98,"Exclude, attack, harm, etc., people who are part of minority groups.",T2,"C4, C5, C6, C9",,
#P99,"No access to the labor market, discrimination, and systematic exclusion",T2,"C4, C7",,
#P100,Segregation of people based on their conditions,T2,"C4, C6",,
#P101,"Deny opinions, ideas, proposals, and positions based on non-technical factors, such as sex, ethnicity, or religion.",T2,"C4, C6",,
#P102,Treat a person differently or badly because of some attribute of theirs that is unknown.,T2,"C3, C6",,
#P103,Exclusion.,T2,C4,,
#P104,Any deliberate or unintended action that harms an individual for belonging (or not) to a certain group.,T2,"C3, C6, C9",,
#P105,?,T6,,,
#P106,The act of excluding or harming someone in some way because of something that is not under their control.,T2,"C4, C3, C9",,
#P107,The exclusion of people based on an innate characteristic unrelated to the purpose.,T2,"C4, C6",,
#P108,.,T6,,,
#P109,The act of preventing or making it difficult for an individual or a group to achieve a certain goal solely because of an individual factor.,T2,"C4, C6",,
#P110,Attack on a person based on a mental or physical characteristic.,T2,"C5, C6, C9",,
#P111,like it,T6,,,
#P112,"disfavor people based on their race, gender, or sexual orientation. for example, a quota policy that favors Black people is discrimination and prejudice against poor white people. another example is the creation of panels to determine how Black/mixed-race a person is in order to fit into quota policies.",T2,"C3, C6, C11, C9",,
#P113,Prejudice is a preconceived judgment about someone. Discrimination is the action that arises from prejudice (unjust actions stemming from prejudice).,T4,"C1, C3, C9",,
#P114,"Not exclude, ignore, or discredit the ideas and opinions of these people.",T5,"C4, C9",,
#P115,"Harm, disregard, or even offend someone because of personal characteristics inherent to the individual in question.",T2,"C3, C5, C6, C9",,
#P116,"Prejudice is a preconceived judgment based on stereotypes or generalizations about a group or individual. Discrimination is the act of treating someone unfairly or unequally based on characteristics such as race, gender, or religion.",T3,"C1, C3, C6",,
#P117,Lack of acceptance of minorities,T1,"C2, C6",,
#P118,"Any type of action that disadvantages someone with characteristics different from the ""common"" status",T2,"C3, C6, C9",,
#P119,Basically the definition from the penal code.,T5,,,
#P120,"Treat a person negatively for any reason, whether race, belief, physical appearance, etc…",T2,"C3, C6, C9",,
#P121,Something that should always be punished exemplarily,T5,C9,,
#P122,.,T6,,,
#P123,Not respecting a person for being different from you in any aspect,T2,"C5, C9",,
#P124,"It is the act of disregarding marginalized groups, either explicitly or by “leaving the person aside,” giving fewer opportunities and treating the person merely as a trophy for LinkedIn photos.",T2,"C4, C5, C6, C9",,
#P125,"Belittle the ability of a specific group of people because of a characteristic they have no control over, such as gender, ethnicity, social conditions, sexual orientation, etc.",T2,"C3, C1, C6, C9",,
#P126,"Hire people not based on their technical ability for the role, discriminating based on non-technical characteristics.",T2,"C4, C7, C10",,
#P127,When people are judged not by their actions and behaviors but by preformed ideas about the groups they belong to.,T1,"C1, C6",,
#P128,Exclusion or differential treatment based on a characteristic of the person,T2,"C3, C4, C6",,
#P129,Lack of character,T5,C9,,
#P130,The opposite of the previous answer,T6,,,
#P131,"Rejection based on cultures, races, and opinions different from one’s own",T2,"C4, C6, C2",,
#P132,Harm or limit the hiring or advancement of an employee due to identity and geographic factors,T2,"C4, C6, C7, C3",,
#P133,"Differential (and negative) treatment of someone for having some inherent characteristic that, in reality, has no practical consequence on their moral or intellectual values",T2,"C3, C6, C9",,
#P134,"Lack of respect, ageism…",T2,"C5, C6, C9",,
#P135,Treat someone differently for belonging to a minority group,T2,"C3, C6",,
#P136,"prejudice: opinion or idea, usually negative, about a group and applied without considering individuality
discrimination: unfair or unreasonable distinction",T3,"C1, C3, C6",,
#P137,A,T6,,,
#P138,A person who has a certain type of resistance to different people,T1,"C2, C6",,
#P139,"Treat people worse because of color, race, ethnicity, religion, sexuality, etc.",T2,"C3, C6, C9",,
#P140,Opportunity only for a few people,T2,C4,,
#P141,"Judge and define a person negatively based on their physical or biological characteristics, age, or sexual orientation.",T1,"C1, C6, C2",,
#P142,Negative attitudes or behaviors based on stereotypes of a group,T4,"C1, C2, C3",,
#P143,Discrimination and prejudice is the act of distancing people from a certain background from your daily life.,T4,"C4, C6",,
#P144,discrimination and prejudice,T6,,,
#P145,Not including different people in all aspects because of some personal characteristic.,T2,C4,,
#P146,"A person not being hired for a position because of their gender, sexuality, skin color, disability, neurodivergence, and similar factors.",T2,"C4, C7, C6",,
#P147,"Distinction and differential treatment of people because of their gender, religion, skin color, etc.",T2,"C3, C6",,
#P148,"Any type of exclusion of a person based on race, sex, or physical characteristics",T2,"C4, C6",,
#P149,"Exclusion or preference based on race, color, or sexual orientation",T2,"C3, C4, C6",,
#P150,"Any action against the inclusion of more diverse groups, and the failure to recognize the need to adapt processes and systems to make this inclusion possible",T2,"C4, C7, C6",,
#P151,"The opposite of the previous answer covers much of what would be said here, plus what is defined by law.",T6,,,
#P152,"You reduce someone’s ability purely based on irrelevant factors, such as sexual orientation and skin color.",T2,"C1, C3, C6",,
#P153,"Harm someone based on their ethnicity, place of birth, age, and sex",T2,"C3, C6, C9",,
#P154,"Discrimination is the violence that occurs in daily life, and prejudice is the negative opinion formed beforehand.",T3,"C3, C5, C1, C9",,
#P155,Judge that someone is or has something based on a stereotype of what you see in them.,T1,"C1, C2, C6",,
#P156,"It is the lack of knowledge, as well as empathy, regarding groups of people who are diverse in relation to the observer.",T1,"C2, C9, C6",,
#P157,"Exclusion, offenses, or premature judgment of one or more people based on races, ethnicities, sexual orientations, religions, and other particularities.",T4,"C4, C5, C6, C1",,
#P158,"When a person is excluded or prevented from something within the company because of their race, gender, etc.",T2,"C4, C7, C6",,
#P159,"Deny opportunities based on color, disability, or sexuality",T2,"C4, C6",,
#P160,n/a,T6,,,
#P161,"Prejudice is ignoring what I see in an individual and judging and treating them according to predetermined and wrong ideas.
Discrimination is the act, actively acting to harm another individual based on one’s own prejudice.",T4,"C1, C3, C9",,
#P162,Segregation or limitations on people who possess virtues or characteristics that conflict with (ignorant) beliefs of those who commit such acts.,T2,"C4, C7, C9",,
#P163,Any act that diminishes or embarrasses someone by virtue of any personal characteristic.,T2,"C3, C5, C6, C9",,
#P164,"Have negative attitudes toward someone based on some particularity of theirs that displeases you, such as skin color, origin, sex, sexual orientation, etc.",T1,"C2, C1, C6",,
#P165,Belittle a person because of some characteristic,T2,"C3, C5, C6",,
#P166,"Prejudice is forming a negative opinion about an individual, or group of individuals, based on factors such as race, religion, political spectrum, etc. Discrimination is when we act on that prejudice, generating actions such as jokes, exclusions, attacks, etc.",T4,"C4, C5, C1, C3, C6",,
#P167,"Discredit, judge, and exclude people because of their color, ethnicity, sexual orientation, financial status, or any factor that is not relevant to the goal being pursued",T4,"C1, C4, C3, C6",,
#P168,"When a person is the target of slander or defamation, or is harmed in some way because of one of the aforementioned characteristics.",T2,"C5, C3, C6, C9",,
#P169,"Prejudice is judging before knowing, discrimination is acting based on that judgment.",T4,"C1, C3",,
#P170,"Judge a person’s ability based on a non-technical attribute. Not accept interacting with a person because of their race, sexual orientation, or a special need.",T4,"C1, C4, C6, C10",,
#P171,Any type of offense or aggression directed at an individual based on racial aspects or aspects that make the individual feel inferior,T2,"C5, C6, C9",,
#P172,Any oppressive attitude or rule that uses some social category as its basis.,T2,"C6, C7, C9",,
#P173,Disrespect toward others,T2,"C5, C9",,
#P174,"Prejudice is a preconceived judgment, without real knowledge. Discrimination is acting based on these judgments, excluding or devaluing someone.",T4,"C1, C3, C4, C9",,
#P175,Harm someone solely based on the person’s characteristics,T2,"C3, C6, C9",,
#P176,"Decision-making and behavior based exclusively on physical or personal characteristics (e.g., sexual identity)",T2,"C3, C6",,
#P177,When you have different attitudes from your norm when interacting with someone in a group that you discriminate against,T4,"C2, C3, C6",,
#P178,Personal or opportunity reduction,T5,C4,,
#P179,S,T6,,,
#P180,.,T6,,,
#P181,"Exclude, diminish, ignore, harass, or commit other types of violence against people who do not possess characteristics considered majority in society (heterosexuality, white skin, elitism, etc.)",T2,"C4, C3, C5, C6, C1, C9",,
#P182,“Block” an individual because of a certain choice.,T2,"C4, C6",,
#P183,Prevention from performing something due to characteristics that do not impede the execution of the work,T2,"C4, C6, C10",,
#P184,"Discrimination: elimination of the different, homogenize. Prejudice: pre-formed concepts about something or someone, culturally and educationally rooted.",T3,"C4, C1, C7",,
#P185,Disregard people because of some characteristic.,T2,"C3, C6, C9",,
#P186,Anything that goes against personal characteristics.,T5,C9,,
#P187,Bullying,T2,C5,,
#P188,Different treatment based on people’s characteristics,T2,"C3, C6",,
#P189,"Negative attitudes based on differences, causing exclusion, discrimination, etc.",T4,"C2, C3, C4",,
#P190,"Negative differential treatment based on gender, race, religion, or other characteristics of the individual.",T2,"C3, C6, C9",,
#P191,Political discussion whose goal is to divide people.,T5,"C7, C9",,
#P192,"The opposite of diversity and inclusion: behaviors that harm or exclude certain groups, reinforcing inequality",T2,"C3, C4, C6, C9",,
#P193,Disqualify coworkers based on a characteristic that is not related to the person’s character,T2,"C1, C3, C6, C10",,
#P194,"Discrimination is the voluntary and conscious act of devaluing, ignoring, or diminishing a person because of inherent characteristics. Prejudice is ignoring and/or having preconceived thoughts about a person’s (in)abilities regarding something and/or ideas of unreal behaviors because of inherent characteristics.",T3,"C1, C3, C2, C9",,
#P195,Ways to deprioritize valuing people for their abilities in favor of any other factors.,T2,"C3, C9, C10",,
#P196,"Exclude a group based on a physical, emotional, or psychological characteristic.",T2,"C4, C6",,
#P197,It is offering different (and worse) treatment to someone because of their physical or behavioral characteristics,T2,"C3, C6, C9",,
#P198,Unfounded aggression,T5,C5,,
#P199,Any form of negative act toward a group/race.,T2,"C3, C6, C9",,
#P200,"Treat a professional differently for reasons unrelated to work, such as sex, social class, or ethnicity.",T2,"C3, C6, C10",,
#P201,"discrimination and prejudice are judgments made about specific characteristics such as skin tone, origin, social class, etc.",T5,"C1, C6",,
#P202,NA,T6,,,
#P203,"Use certain physical or psychological characteristics or conditions of an individual in an attempt to belittle, diminish, or even abuse them.",T2,"C3, C5, C6, C9",,
#P204,Negatively or pejoratively differentiated treatment given to minorities,T2,"C3, C6, C9",,
#P205,"Disregard viewpoints based solely on the person contributing, instead of analyzing the logical points of the contribution.",T2,"C3, C4, C10",,
#P206,Actions designed to prevent the advancement/development/visibility of a certain person solely because of a factor that does not depend on their choice.,T2,"C4, C6, C9",,
#P207,"Discrimination is filtering people, classifying what is considered suitable and unsuitable for certain tasks, positions, regions, or groups, and disqualifying those who are not considered “appropriate.”

Prejudice is a form of discrimination, but it also emphasizes insult, lack of respect, and exclusion.",T4,"C3, C4, C5, C7",,
#P208,Use non-technical attributes to harm another person,T2,"C3, C9, C10",,
#P209,Not respecting people because of their color/appearance or sexual orientation.,T2,"C5, C6, C9",,
#P210,Hate crime,T2,C5,,
#P211,Judgment of character or professionalism based on unrelated characteristics.,T1,"C1, C10",,
#P212,"Discrimination is the disrespectful social attitude toward another person’s absolute characteristics, stemming from pre-existing prejudice. Prejudice, on the other hand, is the formalization of a disrespectful idea about an individual or group and is passed down hierarchically (within the family, workplace, or circle of friends) to the person who exercises it.",T4,"C3, C1, C6, C7",,
#P213,"Humiliations, insults, and lack of opportunities",T2,"C4, C5",,
#P214,Lack of respect,T2,C5,,
#P215,People who treat different people poorly,T2,"C3, C6",,
#P216,"Actions that cause discomfort, conflict, or embarrassment to minority groups, whether through physical or emotional violence",T2,"C5, C6, C9",,
#P217,Discrimination: exclusion or diminishment of a person because of some physical or cultural trait.,T2,"C4, C3, C6",,
#P218,"Any act or speech based on race, color, ethnicity, sexual orientation, age, gender, etc.",T2,"C3, C5, C6",,
#P219,Curtail the opportunity based on an inherent characteristic of the person.,T2,"C4, C6",,
#P220,Exclude minorities,T2,"C4, C6",,
